latitude,longitude,date,confidence
-12.7512,130.9439,15/09/2019,100
-12.802,130.5789,15/09/2019,92
-12.8074,130.5399,15/09/2019,100
-12.8087,130.5301,15/09/2019,100
-12.7941,130.5678,15/09/2019,91
-11.5699,130.7782,15/09/2019,95
-11.3421,132.4416,15/09/2019,91
-11.5868,130.7903,15/09/2019,90
-11.4217,132.4038,15/09/2019,99
-11.4307,132.4052,15/09/2019,94
-11.4294,132.4144,15/09/2019,94
-11.4281,132.4236,15/09/2019,98
-11.4267,132.4328,15/09/2019,97
-11.8146,130.804,15/09/2019,91
-12.2589,132.9729,15/09/2019,100
-14.3647,133.0395,15/09/2019,100
-14.3661,133.0302,15/09/2019,100
-14.3557,133.0381,15/09/2019,98
-14.3571,133.0288,15/09/2019,100
-28.4397,122.6261,15/09/2019,96
-28.4565,122.6312,15/09/2019,94
-28.4732,122.6363,15/09/2019,94
-28.4423,122.6353,15/09/2019,100
-28.459,122.6403,15/09/2019,95
-28.4758,122.6454,15/09/2019,92
-31.1071,115.8898,15/09/2019,90
-31.1149,115.9064,15/09/2019,100
-31.3159,146.3882,15/09/2019,91
-31.3149,146.3947,15/09/2019,100
-30.8118,152.0804,15/09/2019,100
-30.8103,152.0911,15/09/2019,90
-30.821,152.0818,15/09/2019,90
-30.182,152.67,15/09/2019,95
-29.7231,152.0646,15/09/2019,100
-29.7217,152.0752,15/09/2019,100
-29.7336,152.0556,15/09/2019,100
-29.7322,152.0664,15/09/2019,100
-29.7308,152.0771,15/09/2019,100
-29.7293,152.0876,15/09/2019,98
-29.7461,152.1017,15/09/2019,100
-29.7624,152.05,15/09/2019,100
-29.7552,152.1032,15/09/2019,100
-29.7701,152.0625,15/09/2019,100
-29.776,152.1455,15/09/2019,100
-29.7746,152.1562,15/09/2019,99
-29.7732,152.1667,15/09/2019,92
-29.7851,152.1474,15/09/2019,100
-29.7837,152.1578,15/09/2019,100
-29.8335,152.1343,15/09/2019,99
-27.0747,149.7982,15/09/2019,100
-27.0732,149.8099,15/09/2019,100
-27.5164,149.0753,15/09/2019,100
-28.8899,152.2564,15/09/2019,99
-28.8885,152.2668,15/09/2019,100
-28.8933,152.2995,15/09/2019,100
-28.8918,152.3099,15/09/2019,100
-28.8904,152.3202,15/09/2019,100
-28.9009,152.3116,15/09/2019,100
-28.8995,152.3219,15/09/2019,100
-28.898,152.3321,15/09/2019,99
-28.9085,152.3235,15/09/2019,100
-28.9071,152.3338,15/09/2019,100
-28.9057,152.3441,15/09/2019,90
-28.9158,152.3306,15/09/2019,100
-28.9144,152.3409,15/09/2019,100
-28.9263,152.322,15/09/2019,93
-29.1537,152.4073,15/09/2019,100
-29.1718,152.4107,15/09/2019,100
-29.1704,152.4211,15/09/2019,100
-29.1792,152.4183,15/09/2019,100
-22.4629,150.594,15/09/2019,92
-22.4511,150.6123,15/09/2019,97
-22.4525,150.6025,15/09/2019,100
-28.3868,122.5751,15/09/2019,100
-28.4608,122.5967,15/09/2019,90
-28.4243,122.6384,15/09/2019,100
-28.4145,122.6198,15/09/2019,97
-28.4048,122.6012,15/09/2019,100
-28.4083,122.5667,15/09/2019,99
-28.3932,122.5997,15/09/2019,100
-28.395,122.5825,15/09/2019,100
-28.3985,122.5479,15/09/2019,95
-28.3852,122.5637,15/09/2019,97
-28.3736,122.5623,15/09/2019,96
-28.3753,122.5449,15/09/2019,92
-28.377,122.5563,15/09/2019,100
-17.3274,125.5071,15/09/2019,93
-17.3184,125.5057,15/09/2019,100
-17.3089,125.5079,15/09/2019,100
-15.6691,131.2668,15/09/2019,100
-15.6723,131.2488,15/09/2019,100
-15.6501,131.3019,15/09/2019,100
-15.6535,131.2831,15/09/2019,100
-15.6567,131.2647,15/09/2019,100
-15.6632,131.228,15/09/2019,100
-15.6665,131.2094,15/09/2019,100
-15.6697,131.1911,15/09/2019,100
-15.6676,131.261,15/09/2019,100
-15.6489,131.2958,15/09/2019,100
-14.8295,130.0682,15/09/2019,99
-14.827,130.0835,15/09/2019,100
-14.8243,130.0999,15/09/2019,100
-15.6677,131.185,15/09/2019,100
-15.6647,131.2031,15/09/2019,100
-15.6615,131.2217,15/09/2019,100
-15.6521,131.2771,15/09/2019,100
-12.5966,131.1589,15/09/2019,100
-12.5931,131.1797,15/09/2019,100
-29.726,152.089,15/09/2019,100
-28.9051,152.3274,15/09/2019,98
-28.8958,152.3333,15/09/2019,100
-28.3718,122.5055,15/09/2019,100
-28.3735,122.5213,15/09/2019,100
-26.1232,153.0642,15/09/2019,94
-29.8306,152.1688,15/09/2019,92
-29.8394,152.1481,15/09/2019,94
-29.8319,152.1623,15/09/2019,93
-29.8404,152.1404,15/09/2019,90
-12.437,142.2002,30/09/2019,95
-12.1634,136.3468,30/09/2019,100
-12.1648,136.3561,30/09/2019,91
-13.0016,141.7254,30/09/2019,99
-12.9993,141.7191,30/09/2019,99
-13.3271,141.959,30/09/2019,91
-15.5159,134.658,30/09/2019,100
-15.5145,134.6487,30/09/2019,100
-15.5235,134.6473,30/09/2019,100
-15.5249,134.6566,30/09/2019,100
-15.5325,134.646,30/09/2019,98
-15.5393,134.6289,30/09/2019,100
-15.5407,134.6382,30/09/2019,100
-15.5421,134.6474,30/09/2019,100
-15.5434,134.6567,30/09/2019,91
-15.5469,134.6183,30/09/2019,100
-15.5483,134.6275,30/09/2019,100
-15.5497,134.6368,30/09/2019,100
-15.551,134.646,30/09/2019,100
-15.5524,134.6553,30/09/2019,98
-15.5842,134.622,30/09/2019,100
-15.5856,134.6313,30/09/2019,100
-15.587,134.6405,30/09/2019,100
-15.5883,134.6498,30/09/2019,90
-15.5918,134.6114,30/09/2019,100
-15.5981,134.5915,30/09/2019,97
-15.5995,134.6008,30/09/2019,100
-15.6008,134.61,30/09/2019,100
-15.6057,134.5809,30/09/2019,100
-15.6071,134.5901,30/09/2019,100
-15.6084,134.5994,30/09/2019,100
-15.6147,134.5795,30/09/2019,100
-15.6161,134.5887,30/09/2019,100
-15.6174,134.598,30/09/2019,96
-15.6321,134.5708,30/09/2019,100
-15.6334,134.5801,30/09/2019,100
-15.6348,134.5893,30/09/2019,98
-15.4455,126.8828,30/09/2019,100
-15.4907,126.9744,30/09/2019,94
-15.4497,126.8758,30/09/2019,100
-16.6746,127.6504,30/09/2019,97
-28.2948,128.4683,30/09/2019,93
-25.9261,150.2307,30/09/2019,93
-26.1927,146.6512,30/09/2019,100
-26.1942,146.6411,30/09/2019,94
-18.2855,142.4448,30/09/2019,100
-18.2735,142.4637,30/09/2019,90
-18.2762,142.4435,30/09/2019,100
-18.2934,142.4563,30/09/2019,100
-15.495,134.576,30/09/2019,99
-15.4917,134.6069,30/09/2019,100
-15.5105,134.5779,30/09/2019,100
-15.5072,134.6086,30/09/2019,100
-15.5415,134.5812,30/09/2019,93
-15.6061,134.5334,30/09/2019,95
-15.6217,134.5352,30/09/2019,90
-14.7542,141.7605,30/09/2019,96
-14.7716,141.7027,30/09/2019,100
-14.7634,141.7618,30/09/2019,100
-14.7782,141.699,30/09/2019,100
-14.7768,141.7089,30/09/2019,100
-17.0041,143.2801,30/09/2019,100
-17.0004,143.241,30/09/2019,94
-17.0017,143.2315,30/09/2019,100
-16.9913,143.2396,30/09/2019,100
-16.9927,143.2301,30/09/2019,100
-16.994,143.2207,30/09/2019,99
-16.981,143.2476,30/09/2019,100
-16.9823,143.2382,30/09/2019,100
-16.9836,143.2288,30/09/2019,100
-16.9849,143.2193,30/09/2019,100
-15.9722,144.6349,30/09/2019,100
-15.9736,144.6254,30/09/2019,100
-15.975,144.6159,30/09/2019,100
-15.9645,144.6239,30/09/2019,94
-15.9268,144.6275,30/09/2019,100
-15.9282,144.618,30/09/2019,100
-15.919,144.6195,30/09/2019,100
-15.9204,144.61,30/09/2019,100
-15.4095,141.9252,30/09/2019,100
-15.4108,141.9154,30/09/2019,100
-15.3713,141.9432,30/09/2019,95
-15.3726,141.9334,30/09/2019,90
-15.6842,135.0663,30/09/2019,100
-15.6872,135.0374,30/09/2019,100
-15.6692,135.0646,30/09/2019,95
-15.6722,135.0357,30/09/2019,100
-15.6851,135.0591,30/09/2019,100
-15.6883,135.0301,30/09/2019,100
-15.6701,135.0574,30/09/2019,100
-15.6733,135.0285,30/09/2019,100
-14.7688,141.7681,30/09/2019,93
-14.2843,143.5282,30/09/2019,97
-14.283,143.5374,30/09/2019,96
-14.279,143.5651,30/09/2019,96
-14.2933,143.5296,30/09/2019,100
-14.292,143.5388,30/09/2019,100
-14.2907,143.548,30/09/2019,100
-12.1211,136.3321,30/09/2019,91
-12.3877,141.7898,30/09/2019,100
-12.376,141.8072,30/09/2019,100
-12.3773,141.7978,30/09/2019,100
-12.0946,141.853,30/09/2019,96
-12.0852,141.8547,30/09/2019,100
-12.7468,135.8956,30/09/2019,91
-11.7812,142.1187,30/09/2019,100
-11.7144,142.0749,30/09/2019,93
-11.6963,142.1378,30/09/2019,98
-11.708,142.0551,30/09/2019,93
-11.6762,142.0816,30/09/2019,90
-11.6775,142.0724,30/09/2019,97
-13.337,141.9713,30/09/2019,100
-13.3384,141.9618,30/09/2019,100
-13.3397,141.9524,30/09/2019,100
-13.3071,141.9861,30/09/2019,95
-13.3084,141.9767,30/09/2019,91
-13.0158,141.7059,30/09/2019,94
-13.0067,141.7046,30/09/2019,98
-12.3955,141.8005,30/09/2019,97
-12.3968,141.7911,30/09/2019,100
-12.3851,141.8085,30/09/2019,93
-12.3864,141.7991,30/09/2019,94
-33.6457,122.9335,30/09/2019,90
-31.0764,115.6559,30/09/2019,100
-31.0784,115.6346,30/09/2019,100
-31.0639,115.6544,30/09/2019,98
-31.0658,115.6331,30/09/2019,90
-28.0545,131.6591,30/09/2019,94
-28.0617,131.6264,30/09/2019,96
-28.301,128.556,30/09/2019,100
-28.3049,128.5359,30/09/2019,100
-28.3166,128.4763,30/09/2019,100
-28.2927,128.5328,30/09/2019,100
-28.2966,128.5128,30/09/2019,98
-28.3005,128.4929,30/09/2019,97
-28.3044,128.4733,30/09/2019,100
-28.3083,128.4536,30/09/2019,100
-28.3121,128.434,30/09/2019,99
-28.2843,128.5099,30/09/2019,100
-28.2961,128.4504,30/09/2019,100
-28.2921,128.5275,30/09/2019,99
-28.2997,128.4875,30/09/2019,96
-28.3034,128.4678,30/09/2019,100
-28.3072,128.4482,30/09/2019,100
-28.2798,128.5245,30/09/2019,97
-28.2836,128.5044,30/09/2019,99
-28.295,128.4448,30/09/2019,99
-28.2737,128.3568,30/09/2019,100
-28.0717,131.6149,30/09/2019,98
-28.0586,131.6135,30/09/2019,98
-15.9083,144.5877,30/09/2019,100
-15.9051,144.611,30/09/2019,97
-15.6709,134.5267,30/09/2019,91
-15.6722,134.517,30/09/2019,99
-14.9254,133.9293,30/09/2019,100
-14.9267,133.9193,30/09/2019,100
-14.928,133.9093,30/09/2019,100
-11.6539,142.1637,30/09/2019,100
-13.4534,132.4123,30/09/2019,98
-13.921,132.9555,30/09/2019,90
-13.463,132.4201,30/09/2019,100
-13.4618,132.4251,30/09/2019,100
-13.4519,132.4237,30/09/2019,95
-20.5958,116.7834,30/09/2019,100
-14.9348,133.9277,30/09/2019,100
-14.943,133.9157,30/09/2019,100
-13.9278,132.9481,30/09/2019,91
-13.92,132.959,30/09/2019,100
-13.9292,132.9576,30/09/2019,95
-16.7134,124.8259,30/09/2019,100
-16.687,127.609,30/09/2019,100
-16.6833,124.8175,30/09/2019,99
-16.6958,124.8151,30/09/2019,91
-16.7083,124.8126,30/09/2019,91
-16.7117,124.8318,30/09/2019,100
-16.7259,124.8235,30/09/2019,96
-16.7241,124.8292,30/09/2019,100
-28.064,131.6209,30/09/2019,100
-14.2853,143.5215,1/10/2019,94
-14.284,143.532,1/10/2019,91
-16.9579,143.2502,1/10/2019,100
-15.906,144.6136,1/10/2019,95
-17.0018,143.3045,1/10/2019,99
-17.1457,143.4032,1/10/2019,92
-17.0832,143.3759,1/10/2019,91
-17.0559,143.3502,1/10/2019,94
-17.0422,143.3374,1/10/2019,100
-17.0035,143.3136,1/10/2019,97
-17.0043,143.3195,1/10/2019,95
-26.1933,146.6485,1/10/2019,96
-26.2038,146.657,1/10/2019,99
-26.2023,146.6469,1/10/2019,100
-28.774,148.1646,1/10/2019,97
-28.7658,148.1781,1/10/2019,91
-13.8447,132.8211,1/10/2019,93
-14.16,132.8223,1/10/2019,90
-14.3119,126.9564,1/10/2019,91
-14.3134,126.9678,1/10/2019,100
-14.3218,126.9551,1/10/2019,98
-15.4383,126.9241,1/10/2019,96
-15.5384,126.7569,1/10/2019,90
-15.5523,126.7085,1/10/2019,90
-16.1788,128.2987,1/10/2019,93
-16.1808,128.3141,1/10/2019,100
-16.1806,128.308,1/10/2019,100
-16.469,123.8582,1/10/2019,92
-16.4987,123.8727,1/10/2019,100
-16.5001,123.882,1/10/2019,100
-16.717,124.8127,1/10/2019,91
